uid,date,titre,type_vote,adopte,dossier_ref,nb_votants,pour,contre,abstention
VTANR5L17V6374,2026-05-06,l'amendement n° 139 de M. Giletti à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,66,34,32,0
VTANR5L17V6371,2026-05-06,l'amendement n° 596 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,47,25,22,0
VTANR5L17V6375,2026-05-06,l'amendement n° 141 de M. Giletti à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,83,40,43,0
VTANR5L17V6393,2026-05-06,l'amendement n° 335 de M. Rancoule à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,134,45,89,0
VTANR5L17V6355,2026-05-06,l'amendement n° 739 de Mme Lingemann à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,103,55,10,38
VTANR5L17V6360,2026-05-06,l'amendement n° 712 de M. Sitzenstuhl à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,106,41,60,5
VTANR5L17V6380,2026-05-06,l'amendement n° 345 de Mme Lechon à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,116,43,73,0
VTANR5L17V6376,2026-05-06,l'amendement n° 159 de M. Lachaud à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,111,26,85,0
VTANR5L17V6367,2026-05-06,l'amendement n° 584 de M. Tonussi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,103,45,50,8
VTANR5L17V6385,2026-05-06,l'amendement n° 528 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,117,42,75,0
